date,metric,store,agent,lang,searchterm,rank
2021-05-17 11:51:17,business.store.rank,playstore,at.smartlab.tshop,"Android11","de-DE","cashier",10
2021-05-17 11:51:18,business.store.rank,playstore,at.smartlab.tshop,"Android11","de-DE","cash register",10
2021-05-17 11:51:18,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","pos",7
2021-05-17 11:51:19,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","point of sale",7
2021-05-17 11:51:19,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","kasse",2
2021-05-17 11:51:20,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","restaurant pos",29
2021-05-17 11:51:21,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","invoice print",50
2021-05-17 11:51:21,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","cashier",22
2021-05-17 11:51:22,business.store.rank,playstore,at.smartlab.tshop,"Android5","es-MX","cash register",10
2021-05-17 11:51:22,business.store.rank,playstore,at.smartlab.tshop,"Android11","es-MX","pos",10
2021-05-17 11:51:23,business.store.rank,playstore,at.smartlab.tshop,"Android11","es-MX","point of sale",6
2021-05-17 11:51:23,business.store.rank,playstore,at.smartlab.tshop,"Android11","es-MX","kasse",2
2021-05-17 11:51:24,business.store.rank,playstore,at.smartlab.tshop,"Android11","es-MX","restaurant pos",10
2021-05-17 11:51:24,business.store.rank,playstore,at.smartlab.tshop,"Android11","es-MX","invoice print",10
2021-05-17 11:51:24,business.store.rank,playstore,at.smartlab.tshop,"Android11","es-MX","cashier",10
2021-05-17 11:51:25,business.store.rank,playstore,at.smartlab.tshop,"Android11","es-MX","cash register",10
2021-05-17 11:51:25,business.store.rank,playstore,at.smartlab.tshop,"Android5","id-ID","pos",7
2021-05-17 11:51:26,business.store.rank,playstore,at.smartlab.tshop,"Android5","id-ID","point of sale",7
2021-05-17 11:51:27,business.store.rank,playstore,at.smartlab.tshop,"Android5","id-ID","kasse",10
2021-05-17 11:51:27,business.store.rank,playstore,at.smartlab.tshop,"Android5","id-ID","restaurant pos",16
2021-05-17 11:51:28,business.store.rank,playstore,at.smartlab.tshop,"Android5","id-ID","invoice print",50
